Energy (MeV),# Pixel
2.79726780221441,931
2.79201505066967,932
2.78677710255571,933
2.78155390229898,934
2.77634539458647,935
2.771151524364,936
2.76597223683552,937
2.76080747746051,938
2.75565719195372,939
2.75052132628259,940
2.74539982666721,941
2.74029263957764,942
2.73519971173339,943
2.73012099010132,944
2.72505642189499,945
2.72000595457255,946
2.71496953583595,947
2.7099471136294,948
2.70493863613768,949
2.69994405178543,950
2.6949633092355,951
2.68999635738754,952
2.68504314537677,953
2.68010362257277,954
2.67517773857823,955
2.67026544322738,956
2.66536668658505,957
2.66048141894501,958
2.65560959082916,959
2.65075115298571,960
2.64590605638858,961
2.64107425223574,962
2.6362556919483,963
2.63145032716887,964
2.62665810976073,965
2.62187899180621,966
2.61711292560624,967
2.61235986367802,968
2.60761975875503,969
2.60289256378471,970
2.59817823192843,971
2.59347671655968,972
2.5887879712628,973
2.58411194983225,974
2.57944860627132,975
2.57479789479082,976
2.57015976980825,977
2.5655341859465,978
2.56092109803263,979
2.55632046109686,980
2.55173223037177,981
2.54715636129067,982
2.54259280948706,983
2.53804153079331,984
2.53350248123943,985
2.52897561705212,986
2.52446089465411,987
2.51995827066245,988
2.5154677018879,989
2.51098914533354,990
2.50652255819428,991
2.50206789785519,992
2.49762512189112,993
2.49319418806538,994
2.48877505432867,995
2.48436767881799,996
2.47997201985616,997
2.47558803595033,998
2.47121568579121,999
2.46685492825188,1000
2.46250572238733,1001
2.45816802743274,1002
2.4538418028032,1003
2.4495270080924,1004
2.44522360307189,1005
2.44093154769019,1006
2.43665080207134,1007
2.4323813265147,1008
2.42812308149344,1009
2.42387602765416,1010
2.41964012581535,1011
2.41541533696702,1012
2.41120162226965,1013
2.40699894305303,1014
2.40280726081558,1015
2.39862653722379,1016
2.39445673411065,1017
2.39029781347564,1018
2.38614973748294,1019
2.3820124684614,1020
2.37788596890289,1021
2.37377020146228,1022
2.36966512895593,1023
2.36557071436116,1024
2.36148692081532,1025
2.35741371161501,1026
2.35335105021516,1027
2.34929890022845,1028
2.3452572254242,1029
2.34122598972768,1030
2.33720515721952,1031
2.33319469213451,1032
2.32919455886127,1033
2.32520472194083,1034
2.32122514606635,1035
2.31725579608242,1036
2.31329663698372,1037
2.30934763391482,1038
2.305408752169,1039
2.30147995718773,1040
2.29756121455987,1041
2.29365249002098,1042
2.28975374945232,1043
2.28586495888046,1044
2.28198608447637,1045
2.27811709255446,1046
2.27425794957213,1047
2.27040862212919,1048
2.26656907696664,1049
2.26273928096617,1050
2.25891920114991,1051
2.25510880467896,1052
2.2513080588529,1053
2.24751693110961,1054
2.24373538902407,1055
2.2399634003078,1056
2.23620093280803,1057
2.23244795450724,1058
2.22870443352245,1059
2.22497033810444,1060
2.22124563663692,1061
2.21753029763628,1062
2.21382428975072,1063
2.21012758175929,1064
2.2064401425718,1065
2.20276194122754,1066
2.19909294689531,1067
2.1954331288721,1068
2.19178245658321,1069
2.18814089958075,1070
2.18450842754371,1071
2.180885010277,1072
2.1772706177108,1073
2.17366521990002,1074
2.17006878702367,1075
2.1664812893843,1076
2.16290269740725,1077
2.15933298164015,1078
2.15577211275241,1079
2.15222006153406,1080
2.14867679889607,1081
2.1451422958691,1082
2.14161652360293,1083
2.13809945336628,1084
2.13459105654586,1085
2.13109130464571,1086
2.12760016928716,1087
2.12411762220754,1088
2.12064363526013,1089
2.1171781804135,1090
2.11372122975063,1091
2.11027275546884,1092
2.10683272987881,1093
2.10340112540413,1094
2.09997791458086,1095
2.09656307005718,1096
2.09315656459231,1097
2.08975837105634,1098
2.08636846242959,1099
2.08298681180221,1100
2.07961339237324,1101
2.07624817745066,1102
2.07289114045035,1103
2.06954225489591,1104
2.06620149441789,1105
2.06286883275346,1106
2.05954424374575,1107
2.05622770134342,1108
2.05291917960005,1109
2.0496186526739,1110
2.04632609482713,1111
2.04304148042533,1112
2.0397647839372,1113
2.03649597993396,1114
2.03323504308868,1115
2.02998194817599,1116
2.02673667007168,1117
2.02349918375191,1118
2.02026946429286,1119
2.01704748687054,1120
2.01383322675985,1121
2.01062665933419,1122
2.00742776006558,1123
2.00423650452313,1124
2.00105286837349,1125
1.99787682737998,1126
1.99470835740245,1127
1.99154743439621,1128
1.98839403441235,1129
