,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3450041611989339,0.2006577813875692,0.032500267028808594,0.0023816030898178584,1,0.001,"{'poly__degree': 1, 'ridge__alpha': 0.001}",-0.013982431031763554,-0.013979456387460232,-0.013876285403966904,-0.01394605760773023,4.935134203292507e-05,60
1,0.18603086471557617,0.001905084726740185,0.03290295600891113,0.001101255872819532,1,0.01,"{'poly__degree': 1, 'ridge__alpha': 0.01}",-0.013982430100440979,-0.013979456387460232,-0.013876285403966904,-0.013946057297289371,4.9351113230093984e-05,58
2,0.21768609682718912,0.009841961866595486,0.03476794560750326,0.007629166580642659,1,0.09999999999999999,"{'poly__degree': 1, 'ridge__alpha': 0.09999999999999999}",-0.013982430100440979,-0.013979457318782806,-0.013876286335289478,-0.013946057918171087,4.9350884430107764e-05,61
3,0.2532173792521159,0.01276765444520059,0.040818214416503906,0.0019698408297880265,1,1.0,"{'poly__degree': 1, 'ridge__alpha': 1.0}",-0.013982432894408703,-0.013979453593492508,-0.013876285403966904,-0.013946057297289371,4.93511694007932e-05,58
4,0.2542408307393392,0.01824236511953807,0.04136339823404948,0.005327162264405959,1,10.0,"{'poly__degree': 1, 'ridge__alpha': 10.0}",-0.013982431031763554,-0.013979427516460419,-0.013876284472644329,-0.013946047673622767,4.934526950723508e-05,57
5,0.29286543528238934,0.010243892359549967,0.03996753692626953,0.005548106340614994,1,100.0,"{'poly__degree': 1, 'ridge__alpha': 100.0}",-0.01398247480392456,-0.01397951040416956,-0.013876254670321941,-0.013946079959472021,4.938876505269849e-05,62
6,0.2886294523874919,0.015692582476116462,0.045657714207967125,0.0014240266565560139,1,1000.0,"{'poly__degree': 1, 'ridge__alpha': 1000.0}",-0.013984625227749348,-0.013981879688799381,-0.013878357596695423,-0.013948287504414717,4.9460613901387574e-05,63
7,0.5368281205495199,0.052930900998392136,0.11030371983846028,0.007114232107116693,2,0.001,"{'poly__degree': 2, 'ridge__alpha': 0.001}",-0.00995227787643671,-0.009931276552379131,-0.009869535453617573,-0.009917696627477804,3.511778185610518e-05,51
8,0.5321597258249918,0.013355976892760564,0.10780247052510579,0.006375129154046841,2,0.01,"{'poly__degree': 2, 'ridge__alpha': 0.01}",-0.00995227787643671,-0.009931281208992004,-0.009869539178907871,-0.009917699421445528,3.511667915118004e-05,52
9,0.5779751936594645,0.03714304563586948,0.12658985455830893,0.005349005692297084,2,0.09999999999999999,"{'poly__degree': 2, 'ridge__alpha': 0.09999999999999999}",-0.009952276945114136,-0.009931274689733982,-0.009869537316262722,-0.009917696317036947,3.5116384584617306e-05,50
10,0.5608179569244385,0.0371782781770416,0.12272977828979492,0.0035925715448615813,2,1.0,"{'poly__degree': 2, 'ridge__alpha': 1.0}",-0.009952274151146412,-0.0099312923848629,-0.009869540110230446,-0.009917702215413252,3.511647202120186e-05,53
11,0.5806070963541666,0.004495094978659731,0.12414240837097168,0.001469183145342113,2,10.0,"{'poly__degree': 2, 'ridge__alpha': 10.0}",-0.009952248074114323,-0.009931539185345173,-0.00986944604665041,-0.009917744435369968,3.5183000470799837e-05,54
12,0.5770399570465088,0.03275799932586768,0.12819544474283853,0.0028628243916447096,2,100.0,"{'poly__degree': 2, 'ridge__alpha': 100.0}",-0.009957876987755299,-0.009938889183104038,-0.009874849580228329,-0.009923871917029222,3.5520194354139437e-05,55
13,0.6069899400075277,0.04210077584109533,0.12297670046488444,0.00366819818620184,2,1000.0,"{'poly__degree': 2, 'ridge__alpha': 1000.0}",-0.01025714073330164,-0.010248021222651005,-0.010172206908464432,-0.010225789621472359,3.8071176486454576e-05,56
14,1.0095966657002766,0.00782772724707815,0.2959221998850505,0.006485199902334129,3,0.001,"{'poly__degree': 3, 'ridge__alpha': 0.001}",-0.005937241483479738,-0.00592081667855382,-0.005899447947740555,-0.005919168703258038,1.5473088527049466e-05,43
15,1.0966047445933025,0.0032946365259500956,0.294589360555013,0.012253935946748815,3,0.01,"{'poly__degree': 3, 'ridge__alpha': 0.01}",-0.005937248468399048,-0.005920820403844118,-0.005899438168853521,-0.0059191690136988955,1.548009485305594e-05,44
16,0.6567118962605795,0.00719908188740448,0.29654526710510254,0.015277685411875318,3,0.09999999999999999,"{'poly__degree': 3, 'ridge__alpha': 0.09999999999999999}",-0.005937306676059961,-0.005920799914747477,-0.005899395328015089,-0.005919167306274176,1.552023701419496e-05,42
17,0.7333876291910807,0.04742024520371166,0.2789304256439209,0.016654530457846376,3,1.0,"{'poly__degree': 3, 'ridge__alpha': 1.0}",-0.005938034038990736,-0.005921155214309692,-0.005899573210626841,-0.005919587487975757,1.574065127841164e-05,45
