points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
203334,89.21006751060486,4.416584,4.438261,0.0004147744,0.00044010044,8.244683,8.08967,371726670000000.0,401121960000000.0,3.5504944,3.6109123,6.9169396e-06,7.556794e-06
406666,173.2609567642212,3.0978134,3.2383745,0.00020887132,0.00025187564,5.661531,5.718054,155292760000000.0,193926100000000.0,2.4142108,2.558458,3.524969e-06,4.430859e-06
610000,265.33035016059875,2.7088583,2.6870654,0.00019178132,0.00020824454,4.430241,4.356605,124397320000000.0,130895420000000.0,2.0325768,2.0456512,2.7136732e-06,2.995015e-06
813334,356.10554814338684,2.4302292,2.5037036,0.00012282246,0.00012805953,4.170451,4.3993816,74807330000000.0,83887305000000.0,1.9203517,1.9504349,2.019354e-06,2.085475e-06
1016666,268.0386281013489,2.8283405,3.513788,0.00021469462,0.00051257183,4.5346704,4.9241457,79449710000000.0,216503550000000.0,2.803052,3.6078143,8.029654e-06,1.7415347e-05
1220000,542.1589860916138,2.0004745,2.0153577,8.4380714e-05,7.8111756e-05,3.598343,3.5947535,63103258000000.0,63426538000000.0,1.54203,1.5752442,1.3534097e-06,1.3135195e-06
