noise,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
0,274.2897980213165,3.6922867,3.5920386,0.00015791139,0.00014953174,5.834262,6.0267816,178815040000000.0,195521390000000.0,3.8011332,3.7273054,4.016019e-06,3.821101e-06
5,276.28499817848206,3.481743,3.4869573,0.00013120763,0.00012791168,4.896271,4.921132,101526150000000.0,103365250000000.0,3.7761974,3.8633943,3.398119e-06,3.5800572e-06
10,552.4230737686157,2.5187938,2.537663,8.477026e-05,7.850457e-05,3.598343,3.5947535,63103258000000.0,63426538000000.0,3.0293872,3.0779977,2.335085e-06,2.303929e-06
15,281.7903907299042,3.8336418,3.9619586,0.00026538785,0.0003286446,5.446114,5.38933,194204600000000.0,205446440000000.0,4.036114,4.2203116,5.175854e-06,5.9276035e-06
20,282.88474798202515,3.8418531,4.9010525,0.00019742979,0.00042498784,5.4345565,5.715987,158505530000000.0,166081940000000.0,4.0909843,4.930931,5.58374e-06,7.3338147e-06
25,564.0947062969208,2.685379,3.8476403,9.055547e-05,0.00023692084,3.394831,4.2449985,50950044000000.0,118898950000000.0,3.2439084,4.5222716,2.675022e-06,5.722816e-06
30,477.84951400756836,3.2304447,4.9634,0.0001313479,0.00036911026,4.2993264,5.1634626,96372980000000.0,106442660000000.0,3.6796954,5.8591084,3.69128e-06,1.1276879e-05
