points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
203334,90.17148518562317,4.6805263,4.6857586,0.0005607717,0.0005797319,8.157672,7.9971924,435274770000000.0,435431030000000.0,3.6212933,3.6402206,8.461648e-06,8.6354285e-06
406666,175.13451194763184,3.4018762,3.3994045,0.00028354712,0.0002782258,5.78329,5.72581,217249910000000.0,215519210000000.0,2.6164365,2.6324728,4.309591e-06,4.312332e-06
610000,266.4576253890991,2.639845,2.652032,0.0001670949,0.00016115567,4.4421754,4.411636,109538170000000.0,100967685000000.0,1.9389503,2.0062873,2.4335238e-06,2.410358e-06
813334,361.0965735912323,2.3522875,2.3757305,0.0001516899,0.00014799576,3.9716825,3.9766903,131825700000000.0,129990050000000.0,1.7514334,1.7510993,2.1744486e-06,2.1678488e-06
1016666,458.5790014266968,2.2580125,2.2568014,0.00010055989,0.000100410674,3.7962787,3.8094628,54674158000000.0,54435490000000.0,1.7285677,1.7318354,1.5420447e-06,1.5484272e-06
1220000,559.1939260959625,2.0069697,1.9457631,9.627206e-05,7.713368e-05,3.427153,3.3534148,66427747000000.0,58004130000000.0,1.4458361,1.4312954,1.1894506e-06,1.0321185e-06
