points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
203334,97.14976572990417,4.7007856,4.695757,0.00078380876,0.00083862204,8.172561,7.9253197,590973100000000.0,646369400000000.0,3.5719578,3.597045,9.493573e-06,1.0051254e-05
406666,119.84532022476196,4.199996,4.2472115,0.00052113086,0.00057837594,6.333061,6.2627225,214633050000000.0,225090260000000.0,2.9248836,2.9942203,5.7124776e-06,6.364403e-06
610000,285.30540466308594,2.5208929,2.5454903,0.00013736982,0.00014982719,4.2572217,4.272169,116016530000000.0,129459500000000.0,1.8388387,1.8823448,1.82406e-06,2.005561e-06
813334,386.7657194137573,2.3655844,2.365773,0.00017059378,0.00017077138,3.8756554,3.8786538,134413820000000.0,131621580000000.0,1.8069193,1.8080208,2.5768732e-06,2.580303e-06
1016666,493.30811977386475,2.295084,2.3291864,0.0001202968,0.00012180727,3.8487625,3.9301481,94372900000000.0,105521000000000.0,1.65528,1.7206671,1.5969796e-06,1.6127618e-06
1220000,576.138932466507,2.042809,2.0932713,0.00013064049,0.00013100076,3.5997694,3.6127996,92186415000000.0,107523670000000.0,1.7049962,1.6590542,2.201525e-06,2.2389438e-06
