points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
203334,1169.536215543747,3.815126,3.595045,0.00026187333,0.00023339808,7.1129174,6.665238,212194540000000.0,190963070000000.0,3.1585245,2.962501,4.5675197e-06,3.9313304e-06
406666,1392.2346003055573,4.1937647,4.5354557,0.0002886995,0.00035007842,7.3729763,7.406526,246263530000000.0,249030090000000.0,3.3461108,3.3885014,4.392152e-06,4.586165e-06
610000,2142.420068502426,4.0967207,4.1305313,0.00032222742,0.00030225443,7.2433524,7.20642,253410500000000.0,262059120000000.0,3.2501888,3.4158404,5.532089e-06,5.0160334e-06
813334,5609.848983764648,3.466255,3.42343,0.00022034234,0.000215676,5.9323344,5.978909,139113764000000.0,161413440000000.0,2.908857,3.0486217,3.8588064e-06,4.3837945e-06
1016666,2618.444883823395,3.5932205,5.3250403,0.0003279156,0.0010305557,6.2544265,7.769198,255499470000000.0,852457800000000.0,2.9023228,5.185485,4.6569057e-06,1.9169602e-05
1220000,4460.800976753235,3.246494,3.2281532,0.00022317604,0.00023093553,5.5598235,5.4522386,176986260000000.0,209352560000000.0,2.612226,2.6044488,3.586683e-06,3.6485808e-06
