points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
203334,1149.0065124034882,3.7037287,3.481804,0.00030032394,0.00031872117,6.978174,6.136799,281954100000000.0,402464680000000.0,3.109497,2.8990939,5.43269e-06,5.343207e-06
406666,997.1259641647339,3.854894,6.4279394,0.00036279878,0.0009293211,6.958213,10.342286,307633900000000.0,712876660000000.0,3.270898,4.529599,5.542186e-06,1.1513588e-05
610000,1666.9592311382294,3.2042594,4.7858057,0.00022177772,0.00058364525,5.7602277,7.3429093,227285220000000.0,535994770000000.0,2.6832168,3.920587,3.2683822e-06,8.321073e-06
813334,3240.338194131851,3.1321301,4.3258705,0.00020882358,0.00048493137,5.4543324,6.5233655,196111010000000.0,464401600000000.0,2.5519512,3.5642817,3.063786e-06,6.9201833e-06
1016666,4466.697150707245,3.2715008,3.271083,0.00024293431,0.00024304714,5.529551,5.59134,225597590000000.0,276646200000000.0,2.5722184,2.6978312,3.0642454e-06,3.2836497e-06
1220000,2191.2403361797333,3.5563517,5.388112,0.00024278753,0.0006393895,6.081692,8.513117,157386380000000.0,483098300000000.0,2.8842077,4.4982686,3.932578e-06,1.0789191e-05
