noise,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
0,3668.901000022888,2.7098994,2.7810693,0.00015936923,0.00015479361,4.796112,4.882761,158063390000000.0,128004790000000.0,2.1545565,2.2453444,2.2230752e-06,2.365477e-06
5,2844.835237264633,3.189746,5.194882,0.00020272398,0.0006014679,5.736575,8.703359,223633500000000.0,648243600000000.0,2.5389128,3.0027392,2.5853176e-06,3.9320125e-06
10,4475.091487407684,3.246494,3.2281532,0.00022317604,0.00023093553,5.5598235,5.4522386,176986260000000.0,209352560000000.0,2.612226,2.6044488,3.586683e-06,3.6485808e-06
15,5623.627843618393,3.4836433,5.2750053,0.00030707155,0.0008463792,5.999468,8.727855,277445460000000.0,993768300000000.0,2.9153504,4.6262307,4.2124148e-06,1.36007675e-05
20,2685.2917733192444,4.1547513,8.36286,0.00043712038,0.0019695568,7.164346,11.360463,325244600000000.0,1363772200000000.0,3.2799888,7.4101887,5.6440094e-06,3.3031472e-05
25,5627.7817623615265,4.321857,4.373048,0.00034180353,0.00047018172,7.10872,6.331566,218265000000000.0,202422280000000.0,3.6121016,4.358478,5.961538e-06,1.1249706e-05
30,3338.0555555820465,4.8180065,4.862713,0.0005196521,0.0005725091,8.929173,8.5313225,453967170000000.0,431352900000000.0,3.9816744,5.3008475,8.50982e-06,1.5163858e-05
