points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
203334,669.0394856929779,4.473235,4.5780473,0.0003959619,0.00042144107,8.106322,7.849003,329995000000000.0,259790960000000.0,3.6332707,3.8030126,6.273867e-06,6.921384e-06
406666,1056.603881597519,4.1969995,4.2663593,0.0004748859,0.0005175756,7.002804,7.2742214,283956230000000.0,234461020000000.0,3.5680547,3.8789194,6.0102784e-06,8.028731e-06
610000,2395.2363662719727,3.5198398,3.5712798,0.00022499329,0.00024956098,6.3902273,6.3238344,214235000000000.0,224933780000000.0,2.834154,2.8757615,3.6543554e-06,3.8138792e-06
813334,2102.232607603073,3.9617167,6.438575,0.00036092958,0.0010359652,6.497798,8.933793,183650750000000.0,490287300000000.0,3.087566,5.3621454,5.1384354e-06,1.6771477e-05
1016666,3336.124247074127,3.360155,3.45398,0.0002275147,0.00022081617,5.8524265,5.5277166,138740660000000.0,179443410000000.0,2.6674268,2.8702383,3.1584023e-06,3.2973953e-06
1220000,4798.196702718735,3.9797473,5.6647635,0.0005143915,0.0012690381,6.626924,9.208001,435438900000000.0,1177151800000000.0,2.9980252,4.1473722,6.3046873e-06,1.4224209e-05
