points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
194346,866.4118702411652,37.722363,37.126602,0.020033868,0.019491045,46.654884,46.44218,8715810400000000.0,8624554000000000.0,30.736008,30.184877,0.0004696112,0.00045743922
388691,2034.5968179702759,34.921593,34.00758,0.016655186,0.015944568,42.087482,41.354736,6749250700000000.0,6486852000000000.0,29.85405,29.323715,0.0004237903,0.00041330853
583038,2562.7373898029327,34.451256,35.366646,0.017430762,0.018126985,40.979935,41.982475,6803362000000000.0,7295164000000000.0,29.787899,30.126265,0.00044455283,0.00045124113
777383,2874.3158066272736,35.715164,35.999435,0.01871744,0.018944563,42.27751,42.935577,8001612000000000.0,8229469000000000.0,29.913649,29.890146,0.00043051256,0.00043009158
971729,6529.64578795433,35.102417,35.135086,0.019198215,0.019221218,42.54649,42.50533,8064102300000000.0,8049312000000000.0,29.187662,29.233044,0.00045033297,0.00045120946
1166074,4501.291702985764,33.30105,34.622795,0.016149037,0.017198427,41.528706,43.10195,6540306400000000.0,7162113500000000.0,28.227468,29.35987,0.00040121088,0.00042400768
