points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
194346,0.13233017921447754,101.80651,88.06319,0.1534235,0.09492691,430.97592,200.69948,1.4292489e+17,4.155294e+16,74.60649,70.32705,0.002139626,0.0017628897
388691,0.21435046195983887,101.51318,87.89012,0.15236533,0.094362415,427.94238,199.24623,1.4233839e+17,4.1262124e+16,74.53548,70.29306,0.0021325564,0.0017586226
583038,0.30462098121643066,101.5638,87.92044,0.15236188,0.094429605,428.551,199.32254,1.4202063e+17,4.1294204e+16,74.52358,70.28961,0.002130698,0.0017587085
777383,0.4030430316925049,101.57235,87.922775,0.15256655,0.09433611,428.96356,198.98187,1.4366936e+17,4.119618e+16,74.54788,70.313995,0.0021308807,0.0017572851
971729,0.5136353969573975,101.70454,88.0458,0.15324911,0.09473152,430.2236,199.49306,1.4471291e+17,4.130438e+16,74.6129,70.35605,0.0021368805,0.001760033
1166074,0.6016967296600342,101.785614,88.12038,0.15372628,0.09500544,430.95847,199.82524,1.4534984e+17,4.139332e+16,74.64197,70.37412,0.0021400806,0.0017615511
