points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
194346,0.23310232162475586,47.76555,46.445545,0.026472587,0.025980808,95.0006,84.34657,1.5117104e+16,1.3264991e+16,40.59775,40.084713,0.0006320401,0.00063454
388691,0.306243896484375,47.451973,46.14218,0.026304597,0.025838675,96.35376,85.48188,1.5160508e+16,1.3286719e+16,40.440895,39.93499,0.0006293245,0.0006319616
583038,0.4600107669830322,48.15406,46.806618,0.026686946,0.026161823,95.34068,84.4907,1.5141281e+16,1.3265462e+16,40.64592,40.126915,0.00063231227,0.0006346271
777383,0.6016039848327637,47.82753,46.495163,0.026484886,0.025985176,95.5287,84.63736,1.5124984e+16,1.3252726e+16,40.838154,40.311497,0.00063461706,0.00063672446
971729,0.7627735137939453,47.37777,46.08718,0.026283981,0.02581652,95.614525,84.655174,1.5136213e+16,1.3253665e+16,40.541195,40.018227,0.0006307036,0.00063333614
1166074,0.9223613739013672,47.38463,46.10798,0.026285995,0.025818318,95.0787,84.16317,1.5131613e+16,1.3250908e+16,40.500385,39.971382,0.0006303396,0.00063310156
