points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
194346,94.69839429855347,32.8806,32.88173,0.011643454,0.0116468305,52.445984,52.56338,4801360000000000.0,4848740500000000.0,29.268599,29.261976,0.0003146253,0.00031449553
388691,140.77327346801758,37.135056,37.16434,0.024198381,0.024196818,50.202457,50.175655,1.0724398e+16,1.0738066e+16,31.975927,31.984388,0.0005362349,0.0005361079
583038,254.51992273330688,33.40999,33.285347,0.011122452,0.010942719,44.75122,44.69407,4081122200000000.0,4057566000000000.0,26.905432,26.823769,0.0002590257,0.00025682233
777383,345.79890275001526,36.16673,36.273994,0.017340405,0.017407134,49.508923,49.543633,6784171400000000.0,6790178500000000.0,30.80491,30.887926,0.00042246244,0.0004239409
971729,440.0655462741852,40.881237,40.872963,0.017328637,0.017333912,58.310844,58.29846,6573110300000000.0,6577039600000000.0,35.869522,35.860275,0.0004737065,0.00047362733
1166074,535.8630318641663,41.26829,40.889755,0.02088203,0.020257715,52.35,51.92812,1.026172e+16,9759601000000000.0,35.77364,35.527298,0.0004652178,0.00045932873
