points,time,max mape corrected,max mape uncorrected,max mse corrected,max mse uncorrected,tot mape corrected,tot mape uncorrected,tot mse corrected,tot mse uncorrected,avg mape corrected,avg mape uncorrected,avg mse corrected,avg mse uncorrected
194346,0.3339369297027588,42.245228,43.103317,0.020835884,0.021565257,47.844345,48.89497,7297780000000000.0,7583615700000000.0,34.80405,34.94983,0.00051700586,0.00052095443
388691,0.47443318367004395,42.235687,43.082726,0.020761354,0.021479683,47.89648,48.893147,7265093000000000.0,7523532300000000.0,34.846966,34.99696,0.0005172235,0.00052119675
583038,0.7020730972290039,42.451626,43.289654,0.020898618,0.021620413,47.963894,49.079266,7236978600000000.0,7535060000000000.0,34.98845,35.1192,0.0005182475,0.0005216031
777383,0.9094266891479492,42.59453,43.40902,0.021715436,0.022421818,48.209206,49.39236,7381155000000000.0,7735326300000000.0,34.735382,34.851707,0.00052218913,0.00052597304
971729,1.1700177192687988,42.325943,43.090473,0.02071746,0.021368453,47.776726,48.847916,7256746700000000.0,7542486000000000.0,34.705135,34.809593,0.0005137703,0.0005167729
1166074,1.3923230171203613,42.573185,43.263622,0.02139861,0.02199434,47.69422,48.802494,7249371000000000.0,7569171700000000.0,35.15399,35.265285,0.0005174634,0.0005201367
